entpName,itemName,itemSeq,efcyQesitm,useMethodQesitm,depositMethodQesitm,itemImage
(주)메디카코리아,리도펜연질캡슐(이부프로펜),199701416,"이 약은 감기로 인한 발열 및 동통(통증), 요통, 생리통, 류마티양 관절염, 연소성(어리거나 젊은나이에 나타나는) 류마티양 관절염, 골관절염(퇴행성 관절질환), 수술후 동통(통증)과 두통, 편두통, 치통, 근육통, 신경통, 강직성 척추염, 급성통풍, 건선(마른비닐증)성 관절염, 연조직손상(염좌(삠), 좌상(타박상)), 비관절 류마티스질환(건염(힘줄염), 건초염(힘줄윤활막염), 활액(윤활)낭염)에 사용합니다.","성인은 류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에는 1회 1~3캡슐(200~600 mg)씩, 1일 3~4회, 1일 최고 16캡슐(3,200 mg)까지 복용할 수 있으며, 연소성(어리거나 젊은나이에 나타나는) 류마티양 관절염에는 1일 체중 kg당 30~40 mg을 3~4회 분할 복용, 경증 및 중등도의 동통이나 감기에는 성인 1회 1~2캡슐(200~400 mg)씩, 1일 3~4회, 편두통에는 성인 1회 1~2 캡슐(200~400 mg)씩 복용하며 24시간 동안 2캡슐을 초과하지 않습니다.만 12세 이상 청소년은 1회 1~2캡슐(200~400 mg)씩,1일 3~4회 복용합니다.체중이 30 kg 미만인 경우 1일량이 500 mg을 초과해서는 안되며 공복시 복용은피하는 것이 바람직합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oi0vWfEyqk
(주)동구바이오제약,로비탈연질캡슐,199701488,"이 약은 육체피로, 임신∙수유기, 병중∙병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B1, B2, B6, C의 보급과 말초혈행장애 및 갱년기 시 어깨ㆍ목결림, 수족저림, 수족냉증(손발이 차가움) 증상의 완화에 사용합니다.","만 8세 이상 및 성인은 1회 1캡슐씩, 1일 3회 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147809049909500136
경남제약(주),피엠졸큐액,199701565,"이 약은 무좀, 완선(사타구니백선), 체부백선에 사용합니다.",1일 2~3회 적당량을 환부(질환 부위)에 바릅니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
경남제약(주),나미솔크림(테르비나핀염산염),199701567,"이 약은 피부사상균에 의한 피부진균감염증(족부백선, 고부백선(완선), 체부백선)과 피티로스포룸 올비큘라레균에 의한 어루러기 및 피부칸디다증에 사용합니다.","1일 1~2회 환부(질환 부위)에 바릅니다.질환에 따른 치료기간은 족부백선(발백선증, 무좀)인 경우 1일 1회 1주, 지간(발가락사이)형 족부백선(발백선증, 무좀)인 경우 1일 2회 1주, 족저형(발바닥) 족부백선(발백선증, 무좀)인 경우 1일 2회 2주, 체부백선, 고부백선(대퇴부백선)(완선(사타구니백선))인 경우 1~2주, 피부칸디다증인 경우 1~2주, 어루러기인 경우 2주간 사용합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
대화제약(주),소프티아연고(요소),199701870,"이 약은 진행성 지장각피증(주부습진의 건조형), 손·발바닥 각피증, 어린선(魚鱗蘚), 노인성 건피증, 모공성 태선, 아토피피부에 사용합니다.",1일 1~수회 환부를 씻은 다음 이 약을 바른 후 충분히 문지릅니다.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
대화제약(주),테나핀크림(테르비나핀염산염),199701885,"이 약은 피부사상균에 의한 피부진균감염증(족부백선, 고부백선(완선), 체부백선)과 피티로스포룸 올비큘라레균에 의한 어루러기 및 피부칸디다증에 사용합니다.","1일 1~2회 환부(질환 부위)에 바릅니다.질환에 따른 치료기간은 족부백선(발백선증, 무좀)인 경우 1일 1회 1주, 지간(발가락사이)형 족부백선(발백선증, 무좀)인 경우 1일 2회 1주, 족저형(발바닥) 족부백선(발백선증, 무좀)인 경우 1일 2회 2주, 체부백선, 고부백선(대퇴부백선)(완선(사타구니백선))인 경우 1~2주, 피부칸디다증인 경우 1~2주, 어루러기인 경우 2주간 사용합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
대화제약(주),"알티린정(세티리진염산염)(수출명:Vilex, Cetirin)",199701900,"이 약은 계절성 및 다년성 알레르기성 비염, 알레르기성 결막염, 만성 특발성 두드러기, 피부가려움증과하이드로코티손 외용제와 병용에 의한 습진, 피부염에 사용합니다.","성인 및 6세 이상의 소아는 1일 1회 1정(10 mg)을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는1/2정(5 mg)씩을 아침, 저녁에 분할 복용합니다.연령, 증상에 따라 적절히 증감합니다.신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OXogawhIrr
고려제약(주),글루콤액,199701904,"이 약은 병중ㆍ병후(병을 앓는 동안이나 회복 후)회복기, 소모성질환 등의 영양공급, 육체피로, 자양강장에 사용합니다.","1회 1바이알, 1일 1회 식간에 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
고려제약(주),알러텍정(세티리진염산염),199701908,"이 약은 계절성 및 다년성 알레르기성 비염, 알레르기성 결막염, 만성 특발성 두드러기, 피부가려움증과하이드로코티손 외용제와 병용에 의한 습진, 피부염에 사용합니다.","만 6세 이상 및 성인은1회 1정(10 mg)씩, 1일 1회 취침 전에 복용합니다.이상반응에 민감한 환자의 경우, ½정(5 mg)씩, 아침, 저녁에 분할하여 복용합니다.연령, 증상에 따라 적절히 증감합니다.신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OflX036ck0
고려제약(주),터비나크림(테르비나핀염산염),199701912,"이 약은 피부사상균에 의한 피부진균감염증(족부백선, 고부백선(완선), 체부백선)과 피티로스포룸 올비큘라레균에 의한 어루러기 및 피부칸디다증에 사용합니다.","1일 1~2회 환부(질환 부위)에 바릅니다.질환에 따른 치료기간은 족부백선(발백선증, 무좀)인 경우 1일 1회 1주, 지간(발가락사이)형 족부백선(발백선증, 무좀)인 경우 1일 2회 1주, 족저형(발바닥) 족부백선(발백선증, 무좀)인 경우 1일 2회 2주, 체부백선, 고부백선(대퇴부백선)(완선(사타구니백선))인 경우 1~2주, 피부칸디다증인 경우 1~2주, 어루러기인 경우 2주간 사용합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
영일제약(주),로텍정(세티리진염산염)(수출명:ZINRYTECTabs),199701967,"이 약은 계절성 및 다년성 알레르기성 비염, 알레르기성 결막염, 만성 특발성 두드러기, 피부소양증과하이드로코티손 외용제와 병용에 의한 습진, 피부염에 사용합니다.","성인 및 6세 이상의 소아는 1일 1회 1정(10 mg)을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1/2정(5 mg)씩을 아침, 저녁에 분할 복용합니다.연령, 증상에 따라 적절히 증감합니다.신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6SDj
영일제약(주),나르비크림1%(테르비나핀염산염),199701981,"이 약은 피부사상균에 의한 피부진균감염증(족부백선, 고부백선(완선), 체부백선)과 피티로스포룸 올비큘라레균에 의한 어루러기 및 피부칸디다증에 사용합니다.","1일 1~2회 환부(질환 부위)에 바릅니다.질환에 따른 치료기간은 족부백선(발백선증, 무좀)인 경우 1일 1회 1주, 지간(발가락사이)형 족부백선(발백선증, 무좀)인 경우 1일 2회 1주, 족저형(발바닥) 족부백선(발백선증, 무좀)인 경우 1일 2회 2주, 체부백선, 고부백선(대퇴부백선)(완선(사타구니백선))인 경우 1~2주, 피부칸디다증인 경우 1~2주, 어루러기인 경우 2주간 사용합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
하이플생명과학(주),안티스액(벤지다민염산염),199702003,"이 약은 치은염, 구내염, 아구창, 발치전ㆍ후, 인두염, 편도염, 방사선요법 및 삽관법 등의 물리적 원인에 의한 구강점막염에 의한 염증의 완화에 사용합니다.","1회 15 mL, 1일 2~3회 원액 그대로 또는 소량의 물로 희석하여 양치질합니다.의사의 지도감독 없이 7일 이상 연속해서 사용하지 마십시오.연령, 증상에 따라 적절히 증감합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
하이플생명과학(주),렉크린액(인산나트륨에네마),199702005,"이 약은 변비, 외과수술시, X-ray조사 및 내시경 검사시의 장세척에 사용합니다.","성인은 1일 1회 1 병(118 mL), 3세 이상의 소아는 1일 1회 1/2 병(59 mL)을 좌측으로 누운상태나 슬흉위(무릎가슴자세)에서 사용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
한국넬슨제약(주),레디비타정,199702118,"이 약은 육체피로, 임신‧수유기, 병중‧병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B1, B2, B6, C의 보급과 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화, 햇빛·피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸 출혈 및 비출혈(코피) 예방과 철 결핍성 빈혈의 예방 및 치료에 사용합니다.","성인은 1일 1회, 1회 1정 복용합니다.",습기와 빛을 피해 서늘한 곳에 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427738395000051
경동제약(주),코졸텍정(세티리진염산염),199702105,"이 약은 계절성 및 다년성 알레르기성 비염, 알레르기성 결막염, 만성 특발성 두드러기, 피부소양증과하이드로코티손 외용제와 병용에 의한 습진, 피부염에 사용합니다.","성인 및 6세 이상의 소아는 1일 1회 1정(10 mg)을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1/2정(5 mg)씩을 아침, 저녁에 분할 복용합니다.연령, 증상에 따라 적절히 증감합니다.신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427552750100119
한국넬슨제약(주),니트나졸크림(케토코나졸),199702130,"이 약은 백선(체부백선, 완선, 족부백선), 피부칸디다증, 어루러기, 지루피부염의 피부진균증에 사용합니다.",보통 1일 1회 또는 감염의 심한 정도에 따라 1일 2회 바를 수 있습니다.증상이 소실된 후에도 수일간 계속 바르십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
한국넬슨제약(주),겟투겔(케토프로펜),199702146,"이 약은 퇴행성관절염(골관절염), 어깨관절주위염, 건ㆍ건초염, 건주위염, 상완골상과염(테니스 엘보우 등), 근육통, 외상후의 종창ㆍ동통의 진통ㆍ소염에 사용합니다.",증상에 따라 적당량을 1일 1~4회 환부에 바르고 잘 스며들도록 가볍게 문지릅니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
한국넬슨제약(주),반드레크림(우레아),199702155,"이 약은 진행성 지장각피증(주부습진의 건조형), 손·발바닥 각피증, 어린선(魚鱗蘚), 노인성 건피증, 모공성태선, 아토피 피부에 사용합니다.",환부를 씻은 다음 1일 1~수회 이 약을 바른 후 충분히 문지릅니다.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
(주)테라젠이텍스,로리딘정(로라타딘),199702177,"이 약은 알레르기성 비염(재채기, 코막힘, 가려움, 눈의 작열감), 만성 특발성(원인 불명의) 두드러기에 사용합니다.","성인 및 12세 이상의 소아는 1일 1회 1정(10 mg) 복용합니다.6~12세 미만의 소아는 체중이 30 kg이상인 경우 1일 1회 1정(10 mg), 30 kg이하인 경우 1일 1회 1/2정(5 mg) 복용합니다.연령, 증상에 따라 적절히 증감합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427558691400087
미래바이오제약(주),크로펜정(클로닉신리시네이트),199702485,"이 약은 근육통, 신경통, 외상후 및 수술후 통증, 두통, 치통, 귀통증의 경증 또는 중등도 통증의 완화에 사용합니다.","성인은 1회 1~2정(125∼250 mg), 1일 3회 복용합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427567771100190
신일제약(주),신일세티리진정(세티리진염산염),199702520,"이 약은 계절성 및 다년성 알레르기성 비염, 알레르기성 결막염, 만성 특발성 두드러기, 피부소양증과하이드로코티손 외용제와 병용에 의한 습진, 피부염에 사용합니다.","성인 및 6세 이상의 소아는 1일 1회 1정(10 mg)을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1/2정(5 mg)씩을 아침, 저녁에 분할 복용합니다.연령, 증상에 따라 적절히 증감합니다.신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N_xmK9Ifm6
신일제약(주),신일피리독신정(피리독신염산염),199702527,"이 약은 약물투여(예: 이소니아지드, 하이드랄라진, 피라진아미드, 페니실라민)로 인한 경우 등 비타민 B6 결핍증의 예방 및 치료와소모성 질환, 임부․수유부, 에스트로겐제제(예: 경구피임제) 복용자 등 비타민 B6의 수요가 증대하여, 식사로부터의 섭취가 불충분할 경우, 비타민 B6 반응성 빈혈 등 비타민 B6 의존증과 구각염, 구순염, 구내염, 설염, 급․만성 습진, 지루성 습진, 접촉성 피부염, 말초신경염, 방사선장애(숙취, 宿醉) 질환 중 비타민 B6의 결핍 또는 대사장애가 관여한다고 추정되는 경우에 사용합니다.",성인은 1일 10 mg (1/5정)～100 mg (2정)을 복용합니다.비타민 B6 의존증인 경우에는 고용량을 복용할 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151317992996500068
(주)뉴젠팜,스테신캡슐(아세틸시스테인),199702566,"이 약은 급ㆍ만성기관지염, 기관지천식, 후두염, 부비동염, 낭성섬유증의 질환에서객담배출곤란에 사용합니다.","급성질환에 성인은 1회 1캡슐(200 mg)씩, 1일 3회, 6~14세는 1회 1캡슐(200 mg)씩, 1일 2회 식전에 소량의 물과 함께 복용합니다.만성질환에 성인은 1회 1캡슐(200 mg)씩, 1일 2회, 6~14세는 1회1/2캡슐(100 mg)씩, 1일 3회 식전에 소량의 물과 함께 복용합니다.낭성섬유증에 6세 이상은 1회 1캡슐(200 mg)씩, 1일 3회 식전에 소량의 물과 함께 복용합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6LYj
한미약품(주),"케어가글액(박하향)(벤제토늄염화물),케어가글액(사과향)(벤제토늄염화물),케어가글액(유칼립투스향)(벤제토늄염화물)",199702589,"이 약은 구강내 소독, 발치수술 또는 구강수술 후의 소독 및 살균에 사용합니다.",1회 적당량을 1일 2~3회 사용해서 입안을 헹구어 냅니다.구강내 소독시에는 이 약을 2.5배 희석합니다.,습기와 빛을 피해 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
(주)한국파비스제약,로페랄연질캡슐,199702618,"이 약은 육체피로, 임신∙수유기, 병중∙병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B1, B2, B6, C의 보급과 말초혈행장애 및 갱년기 시 어깨·목결림, 수족저림, 수족냉증(손발이 차가움) 증상의 완화에 사용합니다.","만 8세 이상 및 성인은 1회 1캡슐씩, 1일 3회 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661651931000064
(주)한국파비스제약,덴스민캡슐,199702621,"이 약은 치주치료 후 치은염, 경·중등도 치주염의 보조치료에 사용합니다.","성인은 1회 1캡슐, 1일 3회 식후에 복용합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151672211034800040
조아제약(주),카디톤액(L-카르니틴),199702787,"이 약은 1차성, 2차성 카르니틴결핍증, 협심증, 급성심근경색과 같은 허혈성 심질환에 의한 심근 대사 장애에 사용합니다.",성인은1일 2병~3병(2~3 g)을2~3회로 분할하여 복용합니다.연령과 증상에 따라 적절히 증감할 수 있습니다.,빛을 피해 보관하십시오.,
영풍제약(주),영풍아시클로버크림,199702823,이 약은 단순포진(물집) 바이러스 감염증(초기 및 재발성 생식기 포진(물집)과 구순포진(물집) 포함)에 사용합니다.,"약 4시간 간격으로 1일 5회 환부(질환 부위)에 바릅니다.치료는 5일간 계속하여야 하며, 5일간 사용 후에도 치료되지 않을 경우에는 5일간 더 사용할 수 있습니다.",실온에서 보관하십시오.,
영풍제약(주),세리텍정(세티리진염산염),199702829,"이 약은 계절성 및 다년성 알레르기성 비염, 알레르기성 결막염, 만성 특발성 두드러기, 피부가려움증과하이드로코티손 외용제와 병용에 의한 습진, 피부염에 사용합니다.","만 6세 이상 및 성인은1회 1정(10 mg)씩, 1일 1회 취침 전에 복용합니다.이상반응에 민감한 환자의 경우, ½정(5 mg)씩, 아침, 저녁에 분할하여 복용합니다.연령, 증상에 따라 적절히 증감합니다.신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OiAjxwzDMf
(주)하원제약,하원아시클로버크림(수출명:하시클로크림),199702843,이 약은 단순포진(물집) 바이러스 감염증(초기 및 재발성 생식기 포진(물집)과 구순포진(물집) 포함)에 사용합니다.,"약 4시간 간격으로 1일 5회 환부(질환 부위)에 바릅니다.치료는 5일간 계속하여야 하며, 5일간 사용 후에도 치료되지 않을 경우에는 5일간 더 사용할 수 있습니다.",실온에서 보관하십시오.,
(주)하원제약,하원세티리진정(세티리진염산염),199702846,"이 약은 계절성 및 다년성 알레르기성 비염, 알레르기성 결막염, 만성 특발성 두드러기, 피부가려움증과하이드로코티손 외용제와 병용에 의한 습진, 피부염에 사용합니다.","성인 및 6세 이상의 소아는 1일 1회 1정(10 mg)을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는1/2정(5 mg)씩을 아침, 저녁에 분할 복용합니다.연령, 증상에 따라 적절히 증감합니다.신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O597tTUss-
현대약품(주),버물리에스액,199702966,"이 약은 습진, 피부염, 땀띠, 옻 등에 의한 피부염, 가려움, 벌레물린데, 두드러기, 동창에 사용합니다.",1일 수회 환부에 적당량을 바릅니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.사용 후에는 반드시 뚜껑을 꼭 닫고 보관하십시오.화기 근처에 두지 마십시오.사용기한이 지난 제품은 사용하지 마십시오.,
(주)휴온스,아미세타정325밀리그람(아세트아미노펜제피세립),199702918,"이 약은 감기로 인한 발열 및 동통(통증), 두통, 신경통, 근육통, 월경통, 염좌통(삔 통증)과 치통, 관절통, 류마티양 동통(통증)에 사용합니다.","성인은 1회 300~1,000 mg을 1일 3~4회 복용합니다.1일 최고 4,000 mg까지 복용할 수 있습니다.연령, 증상에 따라 적절히 증감할 수 있습니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Os35onWpuE
현대약품(주),현대물파스에프,199702967,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요통, 어깨결림, 신경통, 류마티스통증의 진통ㆍ소염과 피부 가려움, 벌레물린데, 동창에 사용합니다.",1일 1~수회 환부에 적당량을 바릅니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.화기 근처에 두지 마십시오.,
초당약품공업(주),초당아스피린장용정100mg(아스피린),199703010,"이 약은 심근경색, 뇌경색, 불안정형 협심증에서 혈전 생성 억제와관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제와 고위험군환자(허혈성 심장질환의 가족력, 고혈압, 고콜레스테롤혈증, 비만, 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소에 사용합니다.","성인은 1회 1정, 1일 1회 복용합니다.이 약은 장용정이므로 충분한 물과 함께 식전에 복용할 수 있습니다.",습기를 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F64bI
초당약품공업(주),초당아시클로버크림,199703017,이 약은 단순포진(물집) 바이러스 감염증(초기 및 재발성 생식기 포진(물집)과 구순포진(물집) 포함)에 사용합니다.,"약 4시간 간격으로 1일 5회 환부(질환 부위)에 바릅니다.치료는 5일간 계속하여야 하며, 5일간 사용 후에도 치료되지 않을 경우에는 5일간 더 사용할 수 있습니다.",실온에서 보관하십시오.,
알보젠코리아(주),아티란캡슐200밀리그램(아세틸시스테인),199703126,"이 약은 급ㆍ만성기관지염, 기관지천식, 후두염, 부비동염, 낭성섬유증의 질환에서객담배출곤란에 사용합니다.","급성질환에 성인은 1회 1캡슐(200 mg)씩, 1일 3회, 6~14세는 1회 1캡슐(200 mg)씩, 1일 2회 식전에 소량의 물과 함께 복용합니다.만성질환에 성인은 1회 1캡슐(200 mg)씩, 1일 2회, 6~14세는 1회1/2캡슐(100 mg)씩, 1일 3회 식전에 소량의 물과 함께 복용합니다.낭성섬유증에 6세 이상은 1회 1캡슐(200 mg)씩, 1일 3회 식전에 소량의 물과 함께 복용합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6EGa
(주)녹십자,씨즈날정(세티리진염산염),199703153,"이 약은 계절성 및 다년성 알레르기성 비염, 알레르기성 결막염, 만성 특발성 두드러기, 피부가려움증과하이드로코티손 외용제와 병용에 의한 습진, 피부염에 사용합니다.","만 6세 이상 및 성인은1회 1정(10 mg)씩, 1일 1회 취침 전에 복용합니다.이상반응에 민감한 환자의 경우, ½정(5 mg)씩, 아침, 저녁에 분할하여 복용합니다.연령, 증상에 따라 적절히 증감합니다.신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OW5q-P0Icf
(주)녹십자,로시놀크림(테르비나핀염산염),199703154,"이 약은 피부사상균에 의한 피부진균감염증(족부백선, 고부백선(완선), 체부백선), 피티로스포룸 올비큘라레균에 의한 어루러기 및 피부칸디다증에 사용합니다.","1일 1~2회 환부(질환부위)에 바릅니다.질환에 따른 치료기간은 족부백선인 경우 1일 1회 1주, 지간(발가락사이)형 족부백선인 경우 1일 2회 1주, 족저형(발바닥) 족부백선인 경우 1일 2회 2주, 체부백선, 고부백선인 경우 1~2주, 피부칸디다증인 경우 1~2주, 어루러기인 경우 2주간 사용합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
(주)서울제약,비나핀크림(테르비나핀염산염),199703184,"이 약은 피부사상균에 의한 피부진균감염증(족부백선, 고부백선(완선), 체부백선)과 피티로스포룸 올비큘라레균에 의한 어루러기 및 피부칸디다증에 사용합니다.","1일 1~2회 환부(질환 부위)에 바릅니다.질환에 따른 치료기간은 족부백선(발백선증, 무좀)인 경우 1일 1회 1주, 지간(발가락사이)형 족부백선(발백선증, 무좀)인 경우 1일 2회 1주, 족저형(발바닥) 족부백선(발백선증, 무좀)인 경우 1일 2회 2주, 체부백선, 고부백선(대퇴부백선)(완선(사타구니백선))인 경우 1~2주, 피부칸디다증인 경우 1~2주, 어루러기인 경우 2주간 사용합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
한국코러스(주),알마겐트정(알마게이트),199703379,"이 약은 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림의 제산작용 및 증상의 개선에 사용합니다.",성인 및 12세 이상의 소아는 1회 2정(1 g)을 1일 3회 식후 30분~1시간에 씹어서 복용합니다.필요시 취침 전에 1회 더 복용할 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OKRXo9l4Fv
한국코러스(주),엑코스정,199703384,"이 약은 코감기, 알레르기 및 혈관운동성 코염에 의한 재채기, 콧물, 코막힘, 눈물의 완화에 사용합니다.","성인은 1회 1정, 소아(12~14세)는 1회 1/2정씩,1일 3회식후에 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427733626400011
